Term,Document IDs
bottle,"1,95,247,272"
genie,1
like,"1,6,7,8,14,15,21,23,24,28,29,30,35,36,38,44,45,46,50,53,54,57,59,66,78,82,83,85,86,87,88,90,92,93,94,97,100,105,106,111,112,122,124,126,127,128,140,141,142,143,146,148,152,153,165,166,167,169,171,173,181,187,193,195,202,206,208,210,211,212,213,216,218,219,220,222,223,224,225,226,227,229,230,232,233,235,236,237,238,245,246,251,254,260,269,272,273,275,276,278,281,282,289,293,294,325,327"
acre,"1,265"
getting,"1,39,124,148,236,239,293"
whip,"1,21"
singsing,1
yeah,"1,2,8,21,22,23,35,40,43,47,48,49,50,51,53,54,57,61,67,68,69,82,86,95,105,109,112,143,152,153,173,176,182,187,197,207,212,213,215,217,219,220,221,231,235,236,239,241,245,247,252,253,254,255,257,259,261,272,275,276,278,282,283,289,290,291"
boy,"1,7,15,47,48,49,50,51,53,54,78,80,117,141,142,146,165,178,179,213,216,221,237,238,278,289,293,325"
pushing,1
friend,"1,14,22,27,51,61,81,117,122,177,208,217,219,220,221,234,262,264,268,294"
put,"1,12,24,53,54,57,59,68,69,97,109,117,124,197,213,229,237,238,241,272,281,282,283,289,327"
money,"1,9,21,23,68,69,78,91,112,124,143,146,161,204,236,237,238,293"
im,"1,2,3,7,8,11,14,21,24,32,37,38,40,53,54,57,61,66,67,68,69,74,75,78,80,81,82,84,89,90,92,93,94,95,98,100,101,105,106,109,112,116,117,121,124,125,126,127,128,143,146,155,162,163,165,169,171,173,176,177,178,179,181,182,195,200,202,210,211,212,213,214,215,216,217,219,220,221,222,223,224,225,226,227,228,230,232,233,236,237,238,241,242,243,246,247,250,254,256,257,258,259,260,261,262,264,268,271,272,273,278,281,282,289,291,293,325"
mixed,"1,112"
gave,"1,45,46,82,125,141,142,146,171,204,240,277"
hot,"1,21,23,78,82,210,211,217,219,220,237,238,289,291"
finger,"1,67,210,211,269"
fuck,"1,2,7,21,38,67,68,69,78,99,112,182,195,197,210,211,213,219,220,232,236,237,238,278,289,291,293"
left,"1,6,7,11,14,21,45,46,58,80,91,92,94,97,109,152,153,154,173,204,219,220,233,234,241,245,264,325"
tune,"1,246,262"
fucking,"1,21,58,94,99,109,154,158,182,195,210,211,236,241,275,276,277,281,289,293"
lock,"1,24,57,219,220"
daddy,"1,53,54,82,93,141,142,210,211,219,220"
love,"1,2,8,9,11,14,23,25,28,29,30,40,53,54,78,82,95,98,101,113,122,124,125,126,127,128,143,146,154,162,167,171,180,187,195,197,200,210,211,212,213,216,217,218,219,220,222,225,226,227,228,229,230,233,235,239,241,242,244,245,247,250,252,253,256,257,258,259,260,261,264,268,273,277,278,281,282,290,293,309,325,327"
life,"1,6,7,15,21,24,25,28,29,30,59,82,91,93,99,107,109,111,112,121,124,160,165,166,176,180,186,195,200,206,208,212,214,219,220,230,235,241,245,247,249,252,253,269,289"
daughter,"1,7,37,80,166,236,237,238"
one,"1,6,7,8,11,27,28,29,30,37,38,39,44,50,53,54,57,61,68,69,74,79,80,82,85,86,87,88,90,93,94,95,97,98,104,105,107,109,111,112,116,122,124,125,143,146,152,153,155,162,163,177,181,182,196,197,200,208,210,211,212,213,215,216,219,220,221,222,223,224,228,229,230,232,233,235,236,237,238,242,243,244,245,250,262,269,270,271,289,294,327"
worry,"1,7,92,105,146,200,214,216,275,276"
get,"1,6,11,21,24,35,36,37,38,39,40,43,44,57,61,68,69,74,78,79,80,82,94,104,105,112,117,124,126,127,128,143,146,152,153,160,163,165,169,176,177,193,195,197,200,206,210,211,219,220,222,230,232,233,235,236,237,238,243,244,246,251,260,264,271,272,289,291,292,293,294,325,327"
crew,"1,236,270"
wife,"1,37,90"
school,"1,93,109,232,278"
breaker,1
make,"1,2,7,8,11,14,39,45,46,59,61,67,74,82,89,93,95,96,97,104,140,143,146,176,180,187,193,195,197,200,206,210,211,212,213,222,225,226,227,230,232,241,243,245,251,252,253,254,262,264,275,276,278,282,289"
belgium,1
tongue,"1,210,211,278"
welcome,"1,152,153,201,270"
came,"1,11,36,61,68,69,72,73,91,143,146,158,161,171,173,256,257,258,259,260,261,327"
condo,1
horizon,"1,166,202"
took,"1,15,32,53,54,80,91,97,143,146,158,213,266,267"
want,"1,6,7,8,9,14,24,44,57,59,82,84,90,92,93,98,100,105,109,116,117,122,146,148,167,169,173,176,180,182,206,208,216,217,218,222,229,237,238,242,244,246,265,271,272,273,277,278,282,289,294"
whenever,1
north,1
wet,"1,91"
eye,"1,14,21,23,24,28,29,30,58,59,66,78,80,83,91,99,106,113,121,124,143,146,166,171,176,177,212,214,222,237,238,241,251,269,288,291,327"
bid,1
seldom,"1,228"
crazy,"1,2,3,40,57,68,69,78,100,117,143,154,158,165,177"
thats,"1,9,11,21,24,42,47,48,49,50,51,53,54,57,67,68,69,80,82,93,94,97,100,109,111,122,124,125,127,128,154,160,163,169,173,182,187,195,198,210,211,212,216,217,219,220,223,229,230,237,238,262,264,273,291,293,294,325"
know,"1,2,6,8,15,24,25,35,36,40,44,45,46,50,53,54,57,61,65,66,67,79,80,82,84,89,90,92,93,94,97,98,104,107,109,112,116,124,140,143,146,148,154,158,161,162,163,165,173,177,180,182,190,191,192,196,197,200,202,206,210,211,212,215,216,217,218,219,220,225,226,227,228,229,230,237,238,239,241,242,243,245,247,251,252,253,254,259,260,262,264,265,266,267,269,271,272,273,275,276,289,290,291,293,294,322,325"
say,"1,7,9,15,22,24,25,27,32,38,44,53,54,67,74,78,82,84,85,86,87,88,94,95,96,102,103,105,106,107,117,124,125,126,127,128,146,155,163,165,167,173,176,178,179,182,200,204,210,211,213,216,219,220,222,229,233,235,239,241,245,249,250,252,253,259,262,265,266,267,272,278,289,293"
nigga,"1,7,12,21,38,68,69,213,237,238,289,291"
judge,"1,74,99"
wrong,"1,6,44,58,74,80,82,97,101,104,111,112,122,125,195,204,217,233,243,247,251"
5year,1
lick,"1,210,211,236,278"
keep,"1,7,21,22,24,25,32,39,44,58,66,67,68,69,78,85,86,87,88,94,96,102,103,126,127,128,146,152,153,160,176,180,194,200,208,210,211,213,216,219,220,222,229,236,237,238,245,264,281,293,294"
else,"1,22,24,79,80,167,173,190,191,192,195,217"
play,"1,7,8,25,35,43,77,98,202,210,211,216,230,237,238,256,257,258,259,260,261,281,289"
tell,"1,2,8,14,24,28,29,30,32,44,53,54,61,74,106,116,121,124,125,154,155,161,171,181,186,200,216,217,222,228,229,230,232,233,240,245,247,256,257,258,259,260,261,271,291,294"
never,"1,2,7,8,24,25,39,41,45,46,59,68,69,77,80,91,92,96,97,111,124,125,141,142,143,146,152,153,162,171,195,217,222,224,225,226,227,228,229,230,233,235,247,249,250,262,264,277,278,289,294,327"
brick,"1,237,238"
tonight,"1,32,42,78,106,112,143,187,195,210,211,243,245,247,272,281"
kisser,1
high,"1,38,68,69,84,100,106,148,187,228,291"
drunk,"1,39,78,237,238"
alright,"1,44,53,54,57,82,90,208,223,244,247"
got,"1,2,7,8,21,23,24,32,37,38,40,53,54,58,61,68,69,74,89,92,94,104,105,117,121,124,143,146,152,153,154,155,163,165,176,196,197,200,202,210,211,212,213,215,216,217,218,219,220,221,230,236,237,238,241,243,245,246,247,251,252,253,254,262,264,268,269,272,278,281,289,291,292,294,325,327"
toppa,1
gram,1
best,"1,37,44,82,91,117,124,128,154,223,243,264"
brother,"1,9,37,182,224,247,282,293"
fake,"1,61,124"
anywhere,"1,98,141,142,275,276"
thing,"1,2,6,8,9,15,21,24,36,41,45,46,50,67,77,80,82,83,91,92,94,96,97,100,102,103,116,121,141,142,146,162,165,178,179,182,204,215,219,220,223,228,229,230,232,234,237,238,240,250,252,253,264,272,275,276,294,327"
visa,1
around,"1,14,24,61,67,81,95,109,124,141,142,161,208,213,217,219,220,230,233,237,238,241,242,254,262,267,269,272,282,288,291,293,294"
