Document ID,Terms
1,"['bottle', 'genie', 'like', 'acre', 'getting', 'whip', 'singsing', 'yeah', 'boy', 'pushing', 'friend', 'put', 'money', 'im', 'mixed', 'gave', 'hot', 'finger', 'fuck', 'left', 'tune', 'fucking', 'lock', 'daddy', 'love', 'life', 'daughter', 'one', 'worry', 'get', 'crew', 'wife', 'school', 'breaker', 'make', 'belgium', 'tongue', 'welcome', 'came', 'condo', 'horizon', 'took', 'want', 'whenever', 'north', 'wet', 'eye', 'bid', 'seldom', 'crazy', 'thats', 'know', 'say', 'nigga', 'judge', 'wrong', '5year', 'lick', 'keep', 'else', 'play', 'tell', 'never', 'brick', 'tonight', 'kisser', 'high', 'drunk', 'alright', 'got', 'toppa', 'gram', 'fake', 'best', 'brother', 'anywhere', 'thing', 'visa', 'around', 'see', 'anyway', 'mine', 'call', 'world', 'beginner', 'ready', 'goggles', 'stop', 'undenable', 'imma', 'come', 'slide', 'cause', 'arm', 'paper', 'dyke', 'oven', 'rub', 'zone', 'alike', 'home', 'held', 'couple', 'helped', 'time', 'pussy', 'ratted', 'sober', 'excuse', 'ring', 'right', 'dont', 'fight', 'let', 'try', 'better', 'dee', 'pretty', 'lying', 'tatted', 'momma', 'hellyeah', 'tight', 'aint', 'bald', 'holler', 'felt', 'uh', 'need', 'owned', 'close', 'give', 'everywhere', 'something', 'heart', 'hitting', 'order', 'box', 'id', 'mover', 'tryin', 'baby', 'husband', 'top', 'fucked', 'bitch', 'side', 'long', 'lil', 'french', 'seatbelt', 'mother', 'shaker', 'jamaica', 'said']"
2,"['wont', 'way', 'struggle', 'word', 'make', 'thing', 'bout', 'see', 'show', 'feel', 'rough', 'ohohohoh', 'lately', 'yeah', 'always', 'dancing', 'flick', 'string', 'tv', 'tough', 'family', 'crazy', 'main', 'childhood', 'hair', 'know', 'making', 'cause', 'seem', 'something', 'lucky', 'im', 'heart', 'yxngxr1', 'running', 'dream', 'kid', 'comin', 'fuck', 'home', 'baby', 'tell', 'fucked', 'run', 'start', 'bitch', 'never', 'rambling', 'playing', 'game', 'gambling', 'could', 'much', 'youre', 'ive', 'time', 'listen', 'car', 'love', 'star', 'said', 'got']"
3,"['belong', 'im', 'oh', 'interlude', 'god', 'crazy', 'ep', 'glowie', 'going']"
4,"['agua', 'paso', 'corriente', 'la', 'como', 'sorprendo', 'dientes', 'con', 'verdad', 'entro', 'al', 'puede', 'continuamente', '20', 'saco', 'los', 'que', 'goma', 'parece', 'pongo', 'caro', 'pero', 'cuando', 'gente', 'vacilar', 'extraña', 'material', 'vientre', 'vendo', 'palo', 'paro', 'fácilmente', 'se', 'estrenar', 'frente', 'hago', 'entiendo', 'un', 'nada', 'borrar', 'tan', 'canciones', 'si', 'el', 'rosendo', 'ser', 'de', 'sin', 'repente', 'defiendo', 'contra', 'volver', 'grandes', 'atrás', 'cliente']"
5,"['paso', 'corriente', 'la', 'como', 'sorprendo', 'dientes', 'con', 'verdad', 'entro', 'puede', 'continuamente', 'saco', 'los', 'que', 'goma', 'parece', 'pongo', 'caro', 'pero', 'cuando', 'gente', 'vacilar', 'extraña', 'material', 'vientre', 'vendo', 'paro', 'lugar', 'fácilmente', 'se', 'estrenar', 'frente', 'hago', 'entiendo', 'un', 'nada', 'borrar', 'tan', 'si', 'el', 'rosendo', 'ser', 'fuera', 'de', 'sin', 'repente', 'defiendo', 'contra', 'volver', 'atrás', 'cliente']"
6,"['wont', 'ashamed', 'tried', 'like', 'laugh', 'anothers', 'fall', 'gone', 'line', 'burn', 'army', 'surround', 'left', 'done', 'four', 'youve', 'self', 'face', 'drawn', 'view', 'selfsatisfied', 'youre', 'life', 'one', 'point', 'get', 'want', 'na', 'spite', 'noble', 'glass', 'stand', 'razor', 'know', 'erase', 'wrong', 'thumb', 'realize', 'ash', 'lost', 'therell', 'cut', 'choose', 'could', 'destroying', 'distort', 'nose', 'clear', 'cant', 'compromise', 'thing', 'path', 'ago', 'march', 'due', 'yesterday', 'stoke', 'stabbings', 'unforgiving', 'broken', 'wire', 'take', 'fire', 'u', 'time', 'plain', 'meaning', 'anyone', 'dont', 'let', 'righteousness', 'feel', 'kept', 'live', 'need', 'past', 'crawl', 'gon', 'side', 'long', 'drum', 'ive', 'dillinger', 'care', 'shot']"
7,"['blessing', 'room', 'began', 'like', 'fresh', 'bout', 'show', 'eat', 'feeling', 'less', 'tho', 'demon', 'entire', 'leave', 'dissed', 'nation', 'gone', 'fashion', 'change', 'bish', 'boy', 'buy', 'whisper', 'find', 'spending', 'guess', 'im', 'mama', 'please', '100k', 'fleek', 'till', 'goddamn', 'fuck', 'left', 'another', 'dealing', 'million', 'invest', 'much', 'twice', 'patience', 'built', 'face', 'cs6', 'reached', 'ignored', 'flip', 'hating', 'life', 'worry', 'daughter', 'one', 'switch', 'ball', 'make', 'cutting', 'role', 'sad', 'want', 'tripledouble', 'real', 'receive', 'scene', 'missed', 'say', 'nigga', 'internet', 'mean', 'print', 'head', 'keep', 'suck', 'bread', 'think', 'lose', 'september', 'finished', 'lost', 'didnt', 'rejoin', 'play', 'blessed', 'never', 'clip', 'car', 'chain', 'talk', 'swank', 'got', 'moan', 'rilès', 'gut', 'gain', 'stalk', 'ear', 'shouldve', 'damn', 'sheol', 'course', 'hey', 'bought', 'rich', 'sense', 'cred', 'rest', 'ill', 'hell', 'come', 'busy', 'cause', 'still', 'fear', 'back', 'bailiff', 'mx', 'figure', 'craft', 'shit', 'weed', 'preach', 'december', 'directing', 'time', 'pussy', 'many', 'sweat', 'em', 'rehab', 'way', 'alone', 'red', 'som', 'wish', 'dont', 'made', 'sell', 'try', 'better', 'street', 'hmar', 'feel', 'record', 'aint', 'letter', 'enero', 'need', 'november', 'miseria', 'psyche', 'gh5', 'paving', 'probably', 'elevate', 'gon', 'flex', 'april', 'ya', 'mad', 'store', 'wasnt', 'lens', 'worth', 'whats', 'dick']"
8,"['like', 'mind', 'read', 'feeling', 'happen', 'yeah', 'cubana', 'truth', 'im', 'homie', 'end', 'lie', 'till', 'sleep', 'much', 'face', 'love', 'one', 'liar', 'make', 'pray', 'want', 'would', 'stay', 'know', 'search', 'doomed', 'didnt', 'lost', 'stack', 'tell', 'run', 'play', 'never', 'buried', 'living', 'spend', 'understand', 'got', 'beach', 'foot', 'none', 'punani', 'rilès', 'cant', 'thing', 'aware', 'anyway', 'para', 'tlm', 'day', 'stop', 'sure', 'rest', 'ill', 'imma', 'simple', 'back', 'hoe', 'fire', 'writing', 'cure', 'time', 'casa', 'pussy', 'sleeping', 'dance', 'way', 'alone', 'dont', 'let', 'made', 'problem', 'try', 'better', 'lone', 'grave', 'mom', 'since', 'fist', 'hurt', 'aint', 'yea', 'need', 'step', 'give', '3ein', 'peach', 'wanted', 'probably', 'ceiling', 'long', 'sin', 'turned', 'marijuana']"
9,"['right', 'dollar', 'word', 'made', 'brother', 'mind', 'version', 'thing', 'told', 'see', 'lot', 'love', 'want', 'nickel', 'beating', 'swallow', 'girl', 'world', 'yes', 'picture', 'need', 'kill', 'que', 'heard', 'thats', 'plane', 'find', 'repeating', 'vision', 'say', 'heart', 'money', 'direction', 'gravel', 'soon', 'funny', 'needed', 'dime', 'sound', 'dark', 'inspection', 'mono', 'another', 'communicating', 'death', 'start', 'growling', 'vida', 'fading', 'catch', 'ive', 'time', 'travel', 'said', 'voice', 'last', 'way', 'superstition']"
10,"['sueño', 'nietos', 'televisión', 'con', 'haremos', 'nuclear', 'cuando', 'tanques', 'delicia', 'enrón', 'empieza', 'más', 'el', 'corazón', 'clarividente', 'en', 'barras', 'capital', 'sumario', 'mano', 'mundo', 'poco', 'dinamita', 'gran', 'del', 'nuestros', 'casaré', 'que', 'mal', 'mar', 'objeción', 'bañaremos', 'cerebro', 'verso', 'bomba', 'democratizaremos', 'garzón', 'de', 'pariremos', 'obús', 'corta', 'veo', 'presidente', 'prestige', 'por', 'margarita', 'compinchados', 'patrocinados', 'crearemos', 'puede', 'ani', 'junto', 'se', 'desojaremos', 'universo', 'humanos', 'viva', 'pasote', 'late', 'parar', 'bush', 'elektroduendes', 'explosión', 'clara', 'autopistas', 'chapapote', 'la', 'como', 'no', 'adelante', 'un', 'pasearemos', 'bombardearemos', 'seré', 'sin', 'serán', 'aznar']"
