Term,Word IDs
bottle,1
genie,2
like,3
acre,4
getting,5
whip,6
singsing,7
yeah,8
boy,9
pushing,10
friend,11
put,12
money,13
im,14
mixed,15
gave,16
hot,17
finger,18
fuck,19
left,20
tune,21
fucking,22
lock,23
daddy,24
love,25
life,26
daughter,27
one,28
worry,29
get,30
crew,31
wife,32
school,33
breaker,34
make,35
belgium,36
tongue,37
welcome,38
came,39
condo,40
horizon,41
took,42
want,43
whenever,44
north,45
wet,46
eye,47
bid,48
seldom,49
crazy,50
thats,51
know,52
say,53
nigga,54
judge,55
wrong,56
5year,57
lick,58
keep,59
else,60
play,61
tell,62
never,63
brick,64
tonight,65
kisser,66
high,67
drunk,68
alright,69
got,70
toppa,71
gram,72
fake,73
best,74
brother,75
anywhere,76
thing,77
visa,78
around,79
see,80
anyway,81
mine,82
call,83
world,84
beginner,85
ready,86
goggles,87
stop,88
imma,89
come,90
slide,91
cause,92
arm,93
paper,94
dyke,95
oven,96
rub,97
zone,98
alike,99
home,100
held,101
couple,102
helped,103
time,104
pussy,105
ratted,106
sober,107
excuse,108
ring,109
right,110
dont,111
fight,112
let,113
try,114
better,115
dee,116
pretty,117
lying,118
tatted,119
momma,120
tight,121
aint,122
bald,123
holler,124
felt,125
uh,126
need,127
owned,128
close,129
give,130
everywhere,131
something,132
heart,133
hitting,134
order,135
box,136
id,137
mover,138
tryin,139
baby,140
husband,141
top,142
fucked,143
bitch,144
side,145
long,146
lil,147
french,148
seatbelt,149
mother,150
shaker,151
jamaica,152
said,153
undenable,154
hellyeah,155
wont,156
way,157
struggle,158
word,159
bout,160
show,161
feel,162
rough,163
ohohohoh,164
lately,165
always,166
dancing,167
flick,168
string,169
tv,170
tough,171
family,172
main,173
childhood,174
hair,175
making,176
seem,177
lucky,178
running,179
dream,180
kid,181
comin,182
run,183
start,184
rambling,185
playing,186
game,187
gambling,188
could,189
much,190
youre,191
ive,192
listen,193
car,194
star,195
yxngxr1,196
oh,197
god,198
going,199
belong,200
ep,201
glowie,202
interlude,203
paso,204
corriente,205
la,206
como,207
sorprendo,208
dientes,209
con,210
verdad,211
entro,212
puede,213
continuamente,214
saco,215
los,216
que,217
goma,218
parece,219
pongo,220
caro,221
pero,222
cuando,223
gente,224
vacilar,225
extraña,226
material,227
vientre,228
vendo,229
paro,230
fácilmente,231
se,232
estrenar,233
frente,234
hago,235
entiendo,236
un,237
nada,238
borrar,239
tan,240
si,241
el,242
ser,243
de,244
sin,245
repente,246
defiendo,247
contra,248
volver,249
atrás,250
cliente,251
agua,252
20,253
al,254
palo,255
grandes,256
canciones,257
rosendo,258
lugar,259
fuera,260
ashamed,261
tried,262
laugh,263
anothers,264
fall,265
gone,266
line,267
burn,268
army,269
surround,270
done,271
youve,272
self,273
face,274
drawn,275
view,276
selfsatisfied,277
point,278
na,279
spite,280
glass,281
stand,282
razor,283
erase,284
thumb,285
realize,286
ash,287
lost,288
therell,289
cut,290
choose,291
destroying,292
distort,293
nose,294
clear,295
cant,296
compromise,297
path,298
ago,299
march,300
due,301
yesterday,302
stoke,303
unforgiving,304
broken,305
wire,306
take,307
fire,308
u,309
plain,310
meaning,311
anyone,312
righteousness,313
kept,314
live,315
past,316
crawl,317
gon,318
drum,319
care,320
shot,321
dillinger,322
four,323
noble,324
stabbings,325
blessing,326
room,327
began,328
fresh,329
